sentence,id,processed_sentences,cluster_label
"Paulina is doing her homework, and it's not too easy",1042_0,paulina homework easy,0
 The people at her work are helpful,1052_2,people work helpful,56
Trudy needs someone to double-check her statistical results and asks Janice to do this,1054_0,trudy double check statistical asks janice,18
 Janice recommends Amy,1054_1,janice recommends amy,9
 Trudy is not comfortable with asking Amy as they don't know each other that well,1054_2,trudy comfortable amy,0
Eric is happy about the French who accepted the offer,1057_0,eric happy french accepted offer,0
 Grace is looking forward to meeting him but Gabriella isn't sure about it,1057_2,grace forward meeting gabriella,26
Brian's interview didn't go well but he wouldn't like to work there anyway,1059_0,brian interview work,1
 Jake agrees,1060_3,jake agrees,69
Bill thinks that Richard is lazy and makes poor life choices recently,1061_0,thinks richard lazy poor life choices,12
 Jim has prepared the presentation,1064_1,jim prepared presentation,0
Ryan and Irma are going to the movies tonight instead of meeting Isabelle as promised,1066_0,ryan irma movies tonight meeting isabelle promised,26
Nate and Julien have both arrived in the agreed meeting place and they are trying to find each other,1067_0,nate julien arrived agreed meeting place,26
Helen has this week off work,1068_0,helen week work,50
" She plans to cook Tagine, but she doesn't have ingredients",1068_1,plans cook tagine ingredients,55
Leon finished his work earlier,1073_0,leon finished work earlier,1
Melissa is stressed before an exam on Monday,1074_0,melissa stressed exam monday,0
Ruby suggests a dish for Lisa to cook but she doesn't have the necessary ingredients,1076_0,ruby suggests dish lisa cook ingredients,27
 Papa will prepare something to eat for him,1077_3,papa prepare eat,49
 She agreed to that,1081_1,agreed,0
 She agreed to go with Taylor,1083_1,agreed taylor,0
" Miles recommends a phone, Eloise thinks it's promising, Sheldon recommends Nokia",1089_1,miles recommends phone eloise thinks promising sheldon recommends nokia,9
 He needs to do this homework not to anger his parents,1090_2,homework anger parents,0
Sarah is stressed out all the time,1100_0,sarah stressed time,17
 James warned her of the dangers of long-term stress,1100_1,james warned dangers long term stress,60
"Kyle, Kian and Jodie agree to watch the game in a bar at Kendall Sq",1104_0,kyle kian jodie agree watch game bar kendall,24
 He asks Charlie for help,1114_1,asks charlie,18
John and May recommended Freddie to watch Versailles and How to Get Away With Murder,1119_0,john recommended freddie watch versailles murder,0
Tom really liked the museum Mary recommended to him in Dumbo,1120_0,tom museum mary recommended dumbo,66
 Jenny will prepare some tea,1130_2,jenny prepare tea,49
 He will prepare a nice supper when Fiona comes back,1131_3,prepare nice supper fiona,49
Wayne asks Jason for his password for the company shared folder,1133_0,wayne asks jason password company shared folder,18
 Michelle explains fearism,1135_1,michelle explains fearism,0
Ann is thinking about moving to Canada next year,1138_0,ann thinking moving canada year,6
 Tony recommends Ann to follow the crazy craving and move to Vancouver,1138_1,tony recommends ann follow crazy craving vancouver,9
 According to Will she is overtired with work,1139_1,overtired work,1
" Dana doesn't like lack of trees, she think kids could use some variety in their environment",1147_2,dana lack trees kids variety environment,0
 For Suzy and Brad the kindergarten's proximity to work is most important,1147_3,suzy brad kindergarten proximity work,1
 She's preparing for the journey,1151_1,preparing journey,0
"Mary, Frank and Anne will teach children to discuss animals in French today",1156_0,mary frank anne teach children discuss animals french today,41
Mark asked Adam to give him the address of the hotel he stayed at last summer,1158_0,mark asked adam address hotel stayed summer,23
 She's about to check the list,1162_1,check list,35
" Jacqui thinks he should buy a silk blouse, chocolates, champagne, or jewellery instead",1169_1,jacqui thinks buy silk blouse chocolates champagne jewellery,12
 Bradley thinks it's funny,1170_1,bradley thinks funny,12
"Emma recommends Mario ""I'm in love"" movie",1173_0,emma recommends mario love movie,9
Magic told the reporters that he was contacted by Simmons for potential mentoring next summer,1183_0,magic told reporters contacted simmons potential mentoring summer,0
"Freddie and Charlie are discussing a football game, Freddie's team won, largely thanks to Ronaldo",1191_0,freddie charlie discussing football game freddie team ronaldo,0
" Eric will introduce his date to Drew at a party next week, if she agrees to come",1202_3,eric introduce drew party week agrees,69
" Dan plans to have it at Muprhys at 8, but he has to book a table",1207_1,dan plans muprhys book table,55
 Apollo will ask a driving instructor he knows to give her lessons,1209_1,apollo driving instructor lessons,0
Jason and Polly want to do some role play during their sexy time today,1210_0,jason polly role play sexy time today,41
"Agatha is unemployed, she thinks this job was a waste of time",1211_0,agatha unemployed thinks job waste time,12
 Diana will help him and his wife organize the transactions,1214_3,diana wife organize transactions,0
 Nancy and Chuck disagree,1215_1,nancy chuck disagree,0
 Four children will also be involved as helpers on Roger's suggestion,1217_1,children involved helpers roger suggestion,0
 Missy is planning a birthday party,1220_3,missy planning birthday party,30
"Steve, Brian, Jane and Charlotte are looking for a new worker from February",1221_0,steve brian jane charlotte worker february,61
Jon asks Ally to delay the delivery from 12 o'clock to half 1 as he has to be in Bicester at 11,1222_0,jon asks ally delay delivery clock half bicester,18
 Ally agree,1222_1,ally agree,24
 Leah shared a photo of her minimalistic interiors,1226_2,leah shared photo minimalistic interiors,0
 One of the writers recreating Shakespeare's works is Jo Nesbo James really likes,1230_1,writers recreating shakespeare works jo nesbo james likes,5
Sonia is unhappy she has to work today until 4,1233_0,sonia unhappy work today,41
" Josh knows a good mechanic, who works at AllForCars in the city center",1235_1,josh good mechanic works allforcars city center,5
Luana is asking Roy and Tori for opinion,1239_0,luana roy tori opinion,0
Millie is coming home from work around 6 pm,1243_0,millie coming work,1
 Backpacks in the size accepted by Ryanair have been produced,1244_2,backpacks size accepted ryanair produced,0
 The café is located 50 m from the old one in the direction of the river,1250_1,café located direction river,0
 Charlie will call her from the shop to ask what she needs and he will do shopping for her,1261_1,charlie shop shopping,0
"Marilyn, April, Jack and Pauline will meet at Marylin's place to work on a project",1262_0,marilyn april jack pauline meet marylin place work project,0
" She asks Jean to go with her, and he agrees",1263_2,asks jean agrees,69
 John works with his dad,1268_4,john works dad,5
 Fabian recommends a pizza place in Venice at Ramona's request,1269_2,fabian recommends pizza place venice ramona request,9
 Paula is healthy but had some incidents that she wants to discuss with them,1275_1,paula healthy incidents discuss,40
 Steve suggests that time will show what kind of boss the manager really is,1277_2,steve suggests time kind boss manager,31
" Sam is working hard, he has 3 deadlines this month and a job at the cinema",1280_4,sam working hard deadlines month job cinema,2
Issac will not stop making noise because he has a lot of work to do today,1283_0,issac making noise lot work today,41
 He will talk to Donna later,1288_2,talk donna,0
Sandra and Ashley are going to meet tomorrow at 7 at the Starbuck at W 45th St to have breakfast and discuss the project,1289_0,sandra ashley meet tomorrow starbuck breakfast discuss project,40
Martin recommends Witcher 3 Wild Hunt,1291_0,martin recommends witcher wild hunt,9
 Amka never used to do anything for Halloween,1299_2,amka halloween,0
" Once in the pub, Liz should mention Oldhagsboards to the publican to obtain precise directions",1300_3,pub liz mention oldhagsboards publican precise directions,0
Kris is looking for podcasts to listen to,1309_0,kris podcasts listen,21
 Leigh recommends Mark Gungor,1309_1,leigh recommends mark gungor,9
The link to Stephanie's video does not work,1316_0,link stephanie video work,1
